ticker,date,comp,trend,entry,stop,target,exit,outcome,pnl_pct
PETKM,2025-01-06,5,up,19.15,18.4264,20.5973,18.4264,stop,-3.779
PETKM,2025-03-06,5,up,17.56,16.9237,18.8326,16.9237,stop,-3.624
PETKM,2025-04-15,5,up,17.0,16.1614,18.6772,16.1614,stop,-4.933
PETKM,2025-05-09,5,up,17.2,16.432,18.7361,16.432,stop,-4.465
PETKM,2025-06-30,5,up,17.85,17.1965,19.1571,17.1965,stop,-3.661
PGSUS,2024-06-03,5,strong_up,212.0,201.0606,233.8788,201.0606,stop,-5.16
PGSUS,2024-06-10,5,strong_up,200.7,189.9045,222.2911,222.2911,target,10.758
PGSUS,2024-06-13,5,strong_up,232.5,219.5727,258.3546,219.5727,stop,-5.56
PGSUS,2024-07-01,5,strong_up,218.9,206.2695,244.1611,244.1611,target,11.54
PGSUS,2024-07-10,5,strong_up,247.1,235.1553,270.9895,235.1553,stop,-4.834
PGSUS,2024-07-23,5,strong_up,235.7,223.7875,259.525,223.7875,stop,-5.054
PGSUS,2024-08-01,6,strong_up,231.1,219.4034,254.4931,219.4034,stop,-5.061
PGSUS,2024-08-08,6,strong_up,231.0,218.0599,256.8803,218.0599,stop,-5.602
PGSUS,2024-09-02,7,strong_up,237.3,224.4464,263.0072,245.7,timeout,3.54
PGSUS,2024-09-03,6,strong_up,232.3,219.6574,257.5852,244.8,timeout,5.381
PGSUS,2024-09-04,6,strong_up,236.3,223.864,261.172,241.1,timeout,2.031
PGSUS,2024-09-09,7,strong_up,233.7,221.0193,259.0613,239.3,timeout,2.396
PGSUS,2024-09-10,6,strong_up,232.0,219.3037,257.3927,232.8,timeout,0.345
PGSUS,2024-09-12,7,strong_up,239.1,225.6264,266.0473,225.6264,stop,-5.635
PGSUS,2024-10-04,5,strong_up,235.3,221.7683,262.3633,221.7683,stop,-5.751
PGSUS,2024-10-15,6,strong_up,233.1,220.1125,259.075,231.7,timeout,-0.601
PGSUS,2024-10-16,5,strong_up,234.4,221.6544,259.8911,221.6544,stop,-5.438
PGSUS,2024-11-08,7,strong_up,241.6,230.6706,263.4587,230.6706,stop,-4.524
PGSUS,2025-01-17,7,strong_up,224.2,216.231,240.138,238.8,timeout,6.512
PGSUS,2025-01-20,6,strong_up,222.7,214.9467,238.2067,238.2067,target,6.963
PGSUS,2025-02-07,5,up,238.8,229.1154,258.1692,239.0,timeout,0.084
PGSUS,2025-02-10,5,up,237.1,227.5822,256.1357,247.2,timeout,4.26
PGSUS,2025-02-11,5,up,237.8,228.0941,257.2117,257.2117,target,8.163
PGSUS,2025-03-05,5,strong_up,269.5,258.0937,292.3126,258.0937,stop,-4.232
PGSUS,2025-03-19,7,strong_up,264.0,251.29,289.42,251.29,stop,-4.814
PGSUS,2025-03-24,6,strong_up,265.0,248.9335,297.133,248.9335,stop,-6.063
PGSUS,2025-03-28,5,strong_up,256.25,240.4986,287.7528,244.7,timeout,-4.507
PGSUS,2025-04-04,5,strong_up,246.2,230.9929,276.6142,276.6142,target,12.353
PGSUS,2025-04-10,6,strong_up,261.0,244.2557,294.4885,244.2557,stop,-6.415
PGSUS,2025-05-12,7,strong_up,253.75,239.6145,282.021,239.6145,stop,-5.571
PGSUS,2025-06-03,7,strong_up,251.5,240.2438,274.0123,240.2438,stop,-4.476
PGSUS,2025-06-30,7,strong_up,257.0,242.1724,286.6553,264.75,timeout,3.016
PGSUS,2025-07-01,6,strong_up,259.0,244.535,287.9299,263.0,timeout,1.544
PGSUS,2025-07-02,6,strong_up,258.75,244.354,287.5421,263.75,timeout,1.932
PGSUS,2025-07-03,6,strong_up,256.25,242.2662,284.2176,254.75,timeout,-0.585
PGSUS,2025-07-04,6,strong_up,255.0,241.4525,282.0949,253.25,timeout,-0.686
PGSUS,2025-07-07,6,strong_up,259.75,246.6613,285.9274,246.6613,stop,-5.039
SAHOL,2024-06-03,5,strong_up,95.6652,90.8682,105.2594,90.8682,stop,-5.014
SAHOL,2024-06-05,5,strong_up,89.4489,84.5162,99.3142,87.5982,timeout,-2.069
SAHOL,2024-06-06,5,strong_up,90.2081,85.3787,99.867,85.3787,stop,-5.354
SAHOL,2024-06-12,5,strong_up,89.2116,84.4168,98.8013,98.8013,target,10.749
SAHOL,2024-07-08,6,strong_up,97.943,92.3333,109.1623,95.0958,timeout,-2.907
SAHOL,2024-07-09,6,strong_up,96.3296,90.8155,107.3576,94.2891,timeout,-2.118
SAHOL,2024-07-10,6,strong_up,96.8041,91.3789,107.6546,91.3789,stop,-5.604
SAHOL,2024-09-18,7,strong_up,92.2011,87.5437,101.5161,87.5437,stop,-5.051
SAHOL,2024-10-09,5,strong_up,89.1167,83.5672,100.2157,83.5672,stop,-6.227
SAHOL,2024-11-22,5,up,87.5982,82.3039,98.1868,93.9569,timeout,7.259
SAHOL,2024-11-25,5,up,86.1272,80.967,96.4476,92.4859,timeout,7.383
SAHOL,2024-11-27,5,up,86.5068,81.443,96.6344,92.818,timeout,7.296
SAHOL,2024-11-28,5,up,86.5542,81.6589,96.3449,89.781,timeout,3.728
SAHOL,2024-11-29,5,up,84.9408,80.0444,94.7338,94.7338,target,11.529
SAHOL,2024-12-11,5,up,93.0079,88.4395,102.1445,88.4395,stop,-4.912
SAHOL,2024-12-26,5,up,94.3365,89.7053,103.5991,94.5263,timeout,0.201
SAHOL,2024-12-31,5,up,91.5843,86.9346,100.8835,96.899,timeout,5.803
SAHOL,2025-01-02,5,up,94.8585,90.1546,104.2663,90.1546,stop,-4.959
SAHOL,2025-01-14,6,strong_up,90.303,85.3802,100.1486,91.0623,timeout,0.841
SAHOL,2025-01-15,5,strong_up,92.6282,87.8639,102.157,90.7776,timeout,-1.998
SAHOL,2025-01-16,6,strong_up,92.5808,87.8161,102.1102,92.0588,timeout,-0.564
SAHOL,2025-01-17,5,strong_up,95.3805,90.6358,104.8699,90.6358,stop,-4.975
SAHOL,2025-02-07,6,strong_up,93.2926,88.9568,101.964,88.9568,stop,-4.647
SAHOL,2025-03-03,5,strong_up,93.4824,88.3672,103.7126,103.7126,target,10.943
SAHOL,2025-03-12,6,strong_up,102.5933,97.2847,113.2107,97.2847,stop,-5.174
SAHOL,2025-06-10,5,up,81.2448,77.7773,88.1797,77.7773,stop,-4.268
SAHOL,2025-06-27,5,up,81.2448,77.1469,89.4405,89.4405,target,10.088
SISE,2024-06-28,7,strong_up,49.143,47.3704,52.6883,47.3704,stop,-3.607
